X,Y,Z,formation
0.0,0.0,200.0,rock1
0.0,2500.0,200.0,rock1
0.0,5000.0,200.0,rock1
0.0,7500.0,200.0,rock1
0.0,10000.0,200.0,rock1
1100.0,0.0,-63.78838324886499,rock1
1100.0,2500.0,-63.78838324886499,rock1
1100.0,5000.0,-63.78838324886499,rock1
1100.0,7500.0,-63.78838324886499,rock1
1100.0,10000.0,-63.78838324886499,rock1
2200.0,0.0,529.7883832488642,rock1
2200.0,2500.0,529.7883832488642,rock1
2200.0,5000.0,529.7883832488642,rock1
2200.0,7500.0,529.7883832488642,rock1
2200.0,10000.0,529.7883832488642,rock1
3300.0,0.0,266.0000000000015,rock1
3300.0,2500.0,266.0000000000015,rock1
3300.0,5000.0,266.0000000000015,rock1
3300.0,7500.0,266.0000000000015,rock1
3300.0,10000.0,266.0000000000015,rock1
4400.0,0.0,2.2116167511342724,rock1
4400.0,2500.0,2.2116167511342724,rock1
4400.0,5000.0,2.2116167511342724,rock1
4400.0,7500.0,2.2116167511342724,rock1
4400.0,10000.0,2.2116167511342724,rock1
5500.0,0.0,595.7883832488683,rock1
5500.0,2500.0,595.7883832488683,rock1
5500.0,5000.0,595.7883832488683,rock1
5500.0,7500.0,595.7883832488683,rock1
5500.0,10000.0,595.7883832488683,rock1
6600.0,0.0,332.00000000000296,rock1
6600.0,2500.0,332.00000000000296,rock1
6600.0,5000.0,332.00000000000296,rock1
6600.0,7500.0,332.00000000000296,rock1
6600.0,10000.0,332.00000000000296,rock1
7700.0,0.0,68.21161675113586,rock1
7700.0,2500.0,68.21161675113586,rock1
7700.0,5000.0,68.21161675113586,rock1
7700.0,7500.0,68.21161675113586,rock1
7700.0,10000.0,68.21161675113586,rock1
8800.0,0.0,661.7883832488628,rock1
8800.0,2500.0,661.7883832488628,rock1
8800.0,5000.0,661.7883832488628,rock1
8800.0,7500.0,661.7883832488628,rock1
8800.0,10000.0,661.7883832488628,rock1
10000.0,0.0,685.788383248863,rock1
10000.0,2500.0,685.788383248863,rock1
10000.0,5000.0,685.788383248863,rock1
10000.0,7500.0,685.788383248863,rock1
10000.0,10000.0,685.788383248863,rock1
0.0,0.0,500.0,rock2
0.0,2500.0,500.0,rock2
0.0,5000.0,500.0,rock2
0.0,7500.0,500.0,rock2
0.0,10000.0,500.0,rock2
1100.0,0.0,236.211616751135,rock2
1100.0,2500.0,236.211616751135,rock2
1100.0,5000.0,236.211616751135,rock2
1100.0,7500.0,236.211616751135,rock2
1100.0,10000.0,236.211616751135,rock2
2200.0,0.0,829.7883832488642,rock2
2200.0,2500.0,829.7883832488642,rock2
2200.0,5000.0,829.7883832488642,rock2
2200.0,7500.0,829.7883832488642,rock2
2200.0,10000.0,829.7883832488642,rock2
3300.0,0.0,566.0000000000015,rock2
3300.0,2500.0,566.0000000000015,rock2
3300.0,5000.0,566.0000000000015,rock2
3300.0,7500.0,566.0000000000015,rock2
3300.0,10000.0,566.0000000000015,rock2
4400.0,0.0,302.2116167511343,rock2
4400.0,2500.0,302.2116167511343,rock2
4400.0,5000.0,302.2116167511343,rock2
4400.0,7500.0,302.2116167511343,rock2
4400.0,10000.0,302.2116167511343,rock2
5500.0,0.0,895.7883832488683,rock2
5500.0,2500.0,895.7883832488683,rock2
5500.0,5000.0,895.7883832488683,rock2
5500.0,7500.0,895.7883832488683,rock2
5500.0,10000.0,895.7883832488683,rock2
6600.0,0.0,632.000000000003,rock2
6600.0,2500.0,632.000000000003,rock2
6600.0,5000.0,632.000000000003,rock2
6600.0,7500.0,632.000000000003,rock2
6600.0,10000.0,632.000000000003,rock2
7700.0,0.0,368.21161675113586,rock2
7700.0,2500.0,368.21161675113586,rock2
7700.0,5000.0,368.21161675113586,rock2
7700.0,7500.0,368.21161675113586,rock2
7700.0,10000.0,368.21161675113586,rock2
8800.0,0.0,961.7883832488628,rock2
8800.0,2500.0,961.7883832488628,rock2
8800.0,5000.0,961.7883832488628,rock2
8800.0,7500.0,961.7883832488628,rock2
8800.0,10000.0,961.7883832488628,rock2
10000.0,0.0,985.788383248863,rock2
10000.0,2500.0,985.788383248863,rock2
10000.0,5000.0,985.788383248863,rock2
10000.0,7500.0,985.788383248863,rock2
10000.0,10000.0,985.788383248863,rock2
