X,Y,Z,formation
0.0,0.0,200.0,rock1
0.0,5000.0,200.0,rock1
0.0,10000.0,200.0,rock1
700.0,0.0,517.1088913245535,rock1
700.0,5000.0,517.1088913245535,rock1
700.0,10000.0,517.1088913245535,rock1
1400.0,0.0,531.1088913245537,rock1
1400.0,5000.0,531.1088913245537,rock1
1400.0,10000.0,531.1088913245537,rock1
2100.0,0.0,242.00000000000034,rock1
2100.0,5000.0,242.00000000000034,rock1
2100.0,10000.0,242.00000000000034,rock1
2800.0,0.0,-47.1088913245531,rock1
2800.0,5000.0,-47.1088913245531,rock1
2800.0,10000.0,-47.1088913245531,rock1
3500.0,0.0,-33.10889132455361,rock1
3500.0,5000.0,-33.10889132455361,rock1
3500.0,10000.0,-33.10889132455361,rock1
4200.0,0.0,283.99999999999943,rock1
4200.0,5000.0,283.99999999999943,rock1
4200.0,10000.0,283.99999999999943,rock1
5000.0,0.0,603.108891324553,rock1
5000.0,5000.0,603.108891324553,rock1
5000.0,10000.0,603.108891324553,rock1
5700.0,0.0,314.00000000000205,rock1
5700.0,5000.0,314.00000000000205,rock1
5700.0,10000.0,314.00000000000205,rock1
6400.0,0.0,24.89110867544531,rock1
6400.0,5000.0,24.89110867544531,rock1
6400.0,10000.0,24.89110867544531,rock1
7100.0,0.0,38.89110867544491,rock1
7100.0,5000.0,38.89110867544491,rock1
7100.0,10000.0,38.89110867544491,rock1
7800.0,0.0,356.00000000000136,rock1
7800.0,5000.0,356.00000000000136,rock1
7800.0,10000.0,356.00000000000136,rock1
8500.0,0.0,673.108891324554,rock1
8500.0,5000.0,673.108891324554,rock1
8500.0,10000.0,673.108891324554,rock1
9200.0,0.0,687.1088913245558,rock1
9200.0,5000.0,687.1088913245558,rock1
9200.0,10000.0,687.1088913245558,rock1
10000.0,0.0,96.89110867544554,rock1
10000.0,5000.0,96.89110867544554,rock1
10000.0,10000.0,96.89110867544554,rock1
0.0,0.0,500.0,rock2
0.0,5000.0,500.0,rock2
0.0,10000.0,500.0,rock2
700.0,0.0,817.1088913245535,rock2
700.0,5000.0,817.1088913245535,rock2
700.0,10000.0,817.1088913245535,rock2
1400.0,0.0,831.1088913245537,rock2
1400.0,5000.0,831.1088913245537,rock2
1400.0,10000.0,831.1088913245537,rock2
2100.0,0.0,542.0000000000003,rock2
2100.0,5000.0,542.0000000000003,rock2
2100.0,10000.0,542.0000000000003,rock2
2800.0,0.0,252.8911086754469,rock2
2800.0,5000.0,252.8911086754469,rock2
2800.0,10000.0,252.8911086754469,rock2
3500.0,0.0,266.8911086754464,rock2
3500.0,5000.0,266.8911086754464,rock2
3500.0,10000.0,266.8911086754464,rock2
4200.0,0.0,583.9999999999994,rock2
4200.0,5000.0,583.9999999999994,rock2
4200.0,10000.0,583.9999999999994,rock2
5000.0,0.0,903.108891324553,rock2
5000.0,5000.0,903.108891324553,rock2
5000.0,10000.0,903.108891324553,rock2
5700.0,0.0,614.000000000002,rock2
5700.0,5000.0,614.000000000002,rock2
5700.0,10000.0,614.000000000002,rock2
6400.0,0.0,324.8911086754453,rock2
6400.0,5000.0,324.8911086754453,rock2
6400.0,10000.0,324.8911086754453,rock2
7100.0,0.0,338.8911086754449,rock2
7100.0,5000.0,338.8911086754449,rock2
7100.0,10000.0,338.8911086754449,rock2
7800.0,0.0,656.0000000000014,rock2
7800.0,5000.0,656.0000000000014,rock2
7800.0,10000.0,656.0000000000014,rock2
8500.0,0.0,973.108891324554,rock2
8500.0,5000.0,973.108891324554,rock2
8500.0,10000.0,973.108891324554,rock2
9200.0,0.0,987.1088913245558,rock2
9200.0,5000.0,987.1088913245558,rock2
9200.0,10000.0,987.1088913245558,rock2
10000.0,0.0,396.89110867544554,rock2
10000.0,5000.0,396.89110867544554,rock2
10000.0,10000.0,396.89110867544554,rock2
