X,Y,Z,formation
0,0,200,rock1
0,111,200,rock1
0,222,200,rock1
0,333,200,rock1
0,444,200,rock1
0,555,200,rock1
0,666,200,rock1
0,777,200,rock1
0,888,200,rock1
0,1000,200,rock1
200,0,400,rock1
200,111,400,rock1
200,222,400,rock1
200,333,400,rock1
200,444,400,rock1
200,555,400,rock1
200,666,400,rock1
200,777,400,rock1
200,888,400,rock1
200,1000,400,rock1
400,0,600,rock1
400,111,600,rock1
400,222,600,rock1
400,333,600,rock1
400,444,600,rock1
400,555,600,rock1
400,666,600,rock1
400,777,600,rock1
400,888,600,rock1
400,1000,600,rock1
600,0,600,rock1
600,111,600,rock1
600,222,600,rock1
600,333,600,rock1
600,444,600,rock1
600,555,600,rock1
600,666,600,rock1
600,777,600,rock1
600,888,600,rock1
600,1000,600,rock1
800,0,400,rock1
800,111,400,rock1
800,222,400,rock1
800,333,400,rock1
800,444,400,rock1
800,555,400,rock1
800,666,400,rock1
800,777,400,rock1
800,888,400,rock1
800,1000,400,rock1
1000,0,200,rock1
1000,111,200,rock1
1000,222,200,rock1
1000,333,200,rock1
1000,444,200,rock1
1000,555,200,rock1
1000,666,200,rock1
1000,777,200,rock1
1000,888,200,rock1
1000,1000,200,rock1
0,0,400,rock2
0,111,400,rock2
0,222,400,rock2
0,333,400,rock2
0,444,400,rock2
0,555,400,rock2
0,666,400,rock2
0,777,400,rock2
0,888,400,rock2
0,1000,400,rock2
200,0,600,rock2
200,111,600,rock2
200,222,600,rock2
200,333,600,rock2
200,444,600,rock2
200,555,600,rock2
200,666,600,rock2
200,777,600,rock2
200,888,600,rock2
200,1000,600,rock2
400,0,800,rock2
400,111,800,rock2
400,222,800,rock2
400,333,800,rock2
400,444,800,rock2
400,555,800,rock2
400,666,800,rock2
400,777,800,rock2
400,888,800,rock2
400,1000,800,rock2
600,0,800,rock2
600,111,800,rock2
600,222,800,rock2
600,333,800,rock2
600,444,800,rock2
600,555,800,rock2
600,666,800,rock2
600,777,800,rock2
600,888,800,rock2
600,1000,800,rock2
800,0,600,rock2
800,111,600,rock2
800,222,600,rock2
800,333,600,rock2
800,444,600,rock2
800,555,600,rock2
800,666,600,rock2
800,777,600,rock2
800,888,600,rock2
800,1000,600,rock2
1000,0,400,rock2
1000,111,400,rock2
1000,222,400,rock2
1000,333,400,rock2
1000,444,400,rock2
1000,555,400,rock2
1000,666,400,rock2
1000,777,400,rock2
1000,888,400,rock2
1000,1000,400,rock2
